Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/S32X/Manuals/36 Great Holes starring Fred Couples.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2F36%20Great%20Holes%20starring%20Fred%20Couples.pdf,2510330,4fee8938d176a67aecfd3fbbc93e3496,,,36 Great Holes starring Fred Couples.pdf
docs/S32X/Manuals/After Burner Complete.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FAfter%20Burner%20Complete.pdf,886956,a16dfa573593004cf09dfb733e5a3c70,,,After Burner Complete.pdf
"docs/S32X/Manuals/Amazing Spider-Man, The - Web of Fire.pdf",https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FAmazing%20Spider-Man%2C%20The%20-%20Web%20of%20Fire.pdf,976025,712db2f59135c9643c9948c7f44dda56,,,"Amazing Spider-Man, The - Web of Fire.pdf"
docs/S32X/Manuals/BC Racers.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FBC%20Racers.pdf,624167,ca40811b8faa324744ddfdc6397f3580,,,BC Racers.pdf
docs/S32X/Manuals/Blackthorne.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FBlackthorne.pdf,1486687,3ca240f2d68c003cc80847cb56b12251,,,Blackthorne.pdf
docs/S32X/Manuals/Brutal Unleashed - Above the Claw.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FBrutal%20Unleashed%20-%20Above%20the%20Claw.pdf,2318973,76d3368584643a4e4069bb81bc0767f1,,,Brutal Unleashed - Above the Claw.pdf
docs/S32X/Manuals/Cosmic Carnage.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FCosmic%20Carnage.pdf,811181,73ee2f01028c125367d30046fcbb3c05,,,Cosmic Carnage.pdf
docs/S32X/Manuals/DOOM.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FDOOM.pdf,1083700,d8c9cd341097247cd51d94863926c5c8,,,DOOM.pdf
docs/S32X/Manuals/Knuckles_ Chaotix.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FKnuckles_%20Chaotix.pdf,1354141,f75912147b9d4900299a137090cad9b6,,,Knuckles_ Chaotix.pdf
docs/S32X/Manuals/Kolibri.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FKolibri.pdf,1062815,fc77154376d497480fc2d7098e1dfeff,,,Kolibri.pdf
docs/S32X/Manuals/Metal Head.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FMetal%20Head.pdf,1069519,84f410ea6614fd686798ce6f829524d1,,,Metal Head.pdf
docs/S32X/Manuals/Mortal Kombat II.pdf,https://archive.org/download/mister-manuals/1994_Sega%2032X.zip/1994_Sega%2032X%2FMortal%20Kombat%20II.pdf,2001879,fab6a7b0825a55c6d42bf506e50d684e,,,Mortal Kombat II.pdf
